,Date,BOD,AmNi,Chla,DO,Ecoli,FC,NitraNi,NitriNi,OrPh,pH,Sal,SDD,Si,SS,Temp,TIN,TKN,ToNi,ToPh,Tur,UnAm,VSS,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,Image_Year
1380,2017-10-27,0.6,0.01,1.8,6.4,1,2.0,0.001,0.001,0.001,7.9,32.7,2.8,0.08,2.3,26.3,0.01,0.23,0.24,0.02,5.1,0.0005,0.9,0.0284711816956502,0.0422913564413579,0.0435238217779074,0.0153496087695023,0.0144032586141234,0.0176401912194283,0.0203196201742624,0.0169329937593043,0.0029843024959483,0.0054966876017636,2017
1381,2017-10-27,0.8,0.01,4.4,6.2,1,1.0,0.001,0.001,0.01,7.8,32.8,3.5,0.35,2.9,26.3,0.02,0.24,0.25,0.02,6.5,0.0005,1.2,0.0227391694186501,0.0293151018829193,0.0300053763482738,0.010312044513849,0.0081843334328287,0.0075602548386215,0.0100992847721282,0.006448518042315,-0.0001299352301661,0.0024351350547527,2017
1382,2017-10-27,0.9,0.01,2.2,5.7,1,1.0,0.001,0.001,0.001,7.9,32.7,3.1,0.05,2.8,26.1,0.01,0.31,0.31,0.02,3.7,0.0005,1.2,0.0208846256277249,0.0268565255798748,0.0304538301922319,0.0095443347626221,0.0081123490185738,0.0087605269623795,0.0105751271198561,0.0080065779448153,0.0010529348164326,0.0039203685012921,2017
1383,2017-10-27,0.6,0.01,1.9,7.1,1,1.0,0.001,0.001,0.001,7.9,32.7,3.6,0.13,1.6,26.3,0.01,0.22,0.22,0.02,4.1,0.0005,0.8,0.0237557771484801,0.0314665012128857,0.0291789870915236,0.0103041119736712,0.0098095797361455,0.0126737583383855,0.0146024978498894,0.012176550087774,0.0018339267582093,0.0041656593409667,2017
1384,2017-10-27,0.9,0.01,5.7,6.2,1,1.0,0.001,0.001,0.01,7.8,32.8,3.2,0.47,3.7,26.2,0.02,0.24,0.25,0.02,1.8,0.0005,1.0,0.0213017498120555,0.0261826650463405,0.0290865796870471,0.0103577638193632,0.0083767098253634,0.0067779508239665,0.0093698682077875,0.0072938808631794,0.0018632624506332,0.0052682036962187,2017
1385,2017-10-27,0.4,0.01,1.6,6.4,1,4.0,0.001,0.001,0.001,7.9,32.6,3.1,0.07,3.0,26.1,0.01,0.21,0.21,0.02,2.9,0.0005,1.2,0.0235325121083162,0.0344450253712417,0.037183954613127,0.0102524560603751,0.0108401526293573,0.0173516044510565,0.0195421390416047,0.0153736725121705,0.0023024756943423,0.0029940185734361,2017
1386,2017-10-27,1.0,0.01,3.9,7.1,1,1.0,0.001,0.001,0.01,7.8,32.7,3.0,0.18,2.9,26.3,0.01,0.49,0.49,0.02,2.5,0.0005,1.0,0.0236608817232842,0.0303511415553733,0.0311480220605024,0.0098629955252529,0.0088737091176592,0.0098118265572441,0.0108680307142941,0.0070476068882052,0.0009215641102728,0.0034699929796621,2017
1387,2017-10-27,0.9,0.01,3.3,6.9,1,1.0,0.001,0.001,0.01,7.8,32.6,3.4,0.28,2.6,26.6,0.02,0.29,0.3,0.02,1.4,0.0005,1.1,0.0210276038760398,0.0290398948171625,0.0294487612365711,0.0084524254689265,0.0082506052141288,0.0132263822516827,0.0169571293790615,0.0121042779883995,-0.0007360045130021,0.0010910419873833,2017
1388,2017-10-27,0.6,0.01,2.4,6.0,1,5.0,0.001,0.001,0.001,7.9,32.7,3.2,0.2,2.6,26.5,0.01,0.32,0.32,0.02,2.8,0.0005,0.9,0.0280420768692919,0.040947877104236,0.0420295196531424,0.0162342900059878,0.0145829252952228,0.0183790696167279,0.0213348026483277,0.0155305514698431,0.0039964745621126,0.0049509129035901,2017
1455,2017-11-01,0.1,0.08,1.9,4.9,280,500.0,0.08,0.03,0.01,7.9,32.8,2.5,1.0,4.4,26.0,0.19,0.53,0.64,0.03,3.6,0.0005,0.8,0.0310485303122178,0.0380358771004804,0.0436688226878294,0.010520701131017,0.006032021636353,0.0004208276982265,0.0013386186283138,0.0002495952909388,-0.0027968202714002,0.0012412567314553,2017
1456,2017-11-01,0.3,0.01,1.9,6.2,1,1.0,0.02,0.02,0.01,7.9,33.0,3.0,1.2,2.2,25.8,0.05,1.0,1.04,0.02,2.4,0.0005,0.5,0.0360468607030505,0.0503370574972059,0.0553273489043113,0.0156341654824249,0.0096008570836928,0.003802295346037,0.0045722799832677,0.0013851463934138,-0.001131079437772,0.0011701905366459,2017
1457,2017-11-01,0.4,0.13,3.1,5.0,3000,4500.0,0.07,0.03,0.03,7.9,32.8,2.5,1.1,2.8,25.8,0.23,0.65,0.75,0.04,2.3,0.0005,0.7,0.0303192605574921,0.0376943820291604,0.049822921737918,0.0157490366100479,0.0094417656824466,0.0007990343014617,0.0012130710942279,-0.0020811637377629,-0.0026590316055443,0.0004717347921095,2017
1458,2017-11-01,0.4,0.08,1.8,5.4,2200,5000.0,0.06,0.03,0.01,7.9,32.9,2.0,1.3,2.2,25.9,0.17,1.2,1.29,0.03,7.7,0.0005,0.6,0.0294751156914245,0.0371704978886156,0.0400988252543808,0.0090137719041885,0.0052486674114107,1.33100246918736e-05,0.0009317453819567,-0.0011792160829039,-0.0014894756270351,0.0017469363735642,2017
1459,2017-11-01,0.3,0.08,1.8,4.4,410,1000.0,0.07,0.03,0.01,7.9,32.8,2.5,1.3,2.5,25.8,0.17,1.1,1.2,0.03,1.6,0.0005,0.6,0.0329582493232025,0.0417873209888781,0.0469250859188939,0.0137644111381151,0.0081495867896239,0.000743389731775,0.0012671403189049,-0.0008399762133917,-0.002174982363658,0.0017141074775972,2017
1460,2017-11-01,0.3,0.02,3.1,5.8,1,1.0,0.04,0.01,0.01,7.9,33.0,3.0,0.62,3.6,25.8,0.07,1.2,1.25,0.02,2.1,0.0005,1.0,0.0278627410006254,0.0332702208796557,0.0376108658405853,0.0066651180792578,0.0028276134427146,-0.0011101855339595,-0.0007796258139372,-0.0022933792948811,-0.002927558787533,-0.0004206881498323,2017
1461,2017-11-01,0.2,0.09,2.3,4.9,140,760.0,0.08,0.04,0.01,7.8,32.5,3.0,1.1,7.7,26.0,0.2,1.1,1.22,0.04,2.2,0.0005,0.9,0.0328849501356957,0.0427945852049195,0.0462849865961611,0.0130955095018409,0.008790700699484,0.0042948149608526,0.0057054846270763,0.0039777575497773,0.0004390501871531,0.0020256839363838,2017
1462,2017-11-01,0.7,0.14,2.9,5.2,2700,5100.0,0.09,0.04,0.01,7.8,32.7,3.0,1.1,8.5,26.0,0.26,1.0,1.12,0.05,5.8,0.01,1.1,0.0369891724648991,0.0456609671678715,0.0529509171132601,0.0193594929597569,0.0147817516222129,0.0031057213750055,0.004676536130464,0.0012742000562619,0.0007343579163751,0.001905111404498,2017
1463,2017-11-01,1.1,0.17,5.9,5.4,13000,44000.0,0.08,0.03,0.02,7.9,32.6,2.5,0.82,5.3,25.7,0.28,0.67,0.78,0.05,9.0,0.01,1.2,0.0308003562687388,0.0400757431294336,0.0480828983543528,0.0151816719694848,0.010214571719079,0.0013592495920082,0.0024349302617595,0.0002503243102587,-0.0004312168702607,0.0008957149070312,2017
1464,2017-11-01,0.5,0.07,4.8,5.1,1200,2900.0,0.09,0.03,0.02,7.9,32.6,2.5,0.66,6.7,25.7,0.19,0.75,0.87,0.04,3.6,0.0005,1.2,0.0265729813174759,0.0352589943571455,0.0435953299819042,0.0151258624589529,0.0097960428146436,0.002209128106808,0.0029611132442935,0.001751748249197,-4.506925010993047e-05,0.0037430244322084,2017
1465,2017-11-01,0.8,0.02,4.9,6.0,110,170.0,0.04,0.02,0.01,8.0,32.5,2.5,0.26,4.9,25.5,0.08,1.1,1.15,0.03,1.9,0.0005,1.0,0.0206900658481845,0.0276499025758481,0.0334664805665338,0.0078478364369783,0.0047956135033947,7.011408681244141e-06,0.0006386707061358,-0.0005929073211884,-0.0014698799384302,0.0024928837396673,2017
1466,2017-11-01,0.6,0.04,4.9,5.5,90,590.0,0.03,0.02,0.01,7.9,32.4,2.5,0.46,3.6,25.5,0.09,1.3,1.35,0.03,2.3,0.0005,0.7,0.0252155545768996,0.032204260460497,0.0396373307465193,0.0121520432418147,0.0074817324431958,0.0013355535160105,0.001746722350236,-0.0002681192395046,-0.001643399949515,0.0024015614914727,2017
1467,2017-11-01,2.2,0.47,3.7,4.7,27000,67000.0,0.06,0.03,0.04,7.8,32.2,3.0,1.1,5.2,26.3,0.56,1.5,1.59,0.07,4.6,0.01,1.7,0.0291880727927524,0.0369208499606249,0.0438970987735714,0.016651352104905,0.0097274306213237,0.0001481938448775,0.0016704539405798,0.000288313837746,-0.0021388134022174,0.0015286104477132,2017
1468,2017-11-01,0.6,0.11,1.5,4.4,180,460.0,0.1,0.04,0.02,7.8,32.7,2.5,1.2,7.1,26.2,0.24,0.66,0.79,0.04,4.7,0.0005,1.1,0.0406738276296322,0.0518209373159934,0.0596154901987743,0.0247527685491042,0.0158010812851536,0.0022576994482407,0.0035607111914721,0.0004612390540352,-0.002029504671992,0.0009970291385792,2017
1469,2017-11-01,0.7,0.09,4.4,5.3,4500,8500.0,0.09,0.03,0.01,7.9,32.6,2.0,0.71,6.6,25.8,0.2,1.0,1.11,0.04,3.5,0.0005,1.2,0.0275426076028571,0.0353312028196659,0.042943492270605,0.0145691421582554,0.0098659037010892,0.0023501223294976,0.0026484712052567,0.0011139110430365,-0.0007277379485786,0.0026050331022127,2017
1470,2017-11-01,0.9,0.02,5.3,5.9,220,710.0,0.06,0.01,0.01,7.9,32.4,3.0,0.19,3.9,24.9,0.09,0.88,0.95,0.03,2.1,0.0005,1.1,0.0171959268496148,0.0233431720422965,0.0288647792082122,0.0063072431897895,0.0034644097513487,0.0013279261722576,0.000749162755368,-0.0005260266788178,-0.0017088646069927,0.0014419191287961,2017
1531,2017-11-16,1.7,0.01,8.7,5.8,35,70.0,0.001,0.001,0.001,8.2,31.0,2.4,0.42,3.3,25.1,0.01,0.22,0.22,0.02,6.6,0.0005,2.2,0.0057701113795117,0.0096150098598465,0.0119996643380785,0.0027934533675882,0.0013628360182973,0.0009897788138523,0.0038559112010017,0.0020320897720436,-0.0020701117956652,0.0018891129817741,2017
1533,2017-11-16,1.5,0.01,6.8,6.2,1,1.0,0.001,0.001,0.001,8.2,32.6,2.8,0.64,2.2,25.1,0.01,0.95,0.95,0.02,5.6,0.0005,1.3,0.0071968605666176,0.012648551883923,0.0120431234672027,0.0018526077860591,0.0001894353471703,0.0008806948360696,0.003642276284641,0.0011949982478681,-0.0017798283264803,0.0012235284413294,2017
1534,2017-11-16,0.2,0.04,0.8,5.2,1,1.0,0.02,0.01,0.01,7.9,32.8,3.0,1.1,3.1,24.4,0.07,0.26,0.29,0.02,1.4,0.0005,0.9,0.0357649189432773,0.056188079132281,0.0593854970365077,0.0184178115242978,0.0125479456648252,0.0094985369113749,0.0140627660974348,0.0103447400853089,0.0031842670927653,0.0047551676512295,2017
1535,2017-11-16,1.1,0.02,4.6,5.8,1,2.0,0.001,0.001,0.001,8.1,31.2,3.2,0.56,2.2,25.1,0.02,0.15,0.15,0.02,6.1,0.0005,1.3,0.007529709802599,0.0127180144406957,0.0158084588725675,0.002134226696491,0.0009882219583974,0.0031788910556743,0.0050502213156352,0.0032750706989374,-0.0018448142894675,0.0009365306390609,2017
1536,2017-11-16,2.7,0.06,17.0,6.8,6,56.0,0.001,0.001,0.001,8.3,29.9,1.8,0.55,4.3,25.0,0.06,0.31,0.31,0.03,6.6,0.01,3.0,0.0021793090132694,0.0050347080915073,0.0029716225084514,-0.0008525553374655,-0.0016606717358514,-0.0003346961306026,0.0016110147752106,-0.0004969350375396,-0.0013879186142443,0.0034569132631522,2017
1537,2017-11-16,2.2,0.01,8.6,7.0,1,1.0,0.001,0.001,0.001,8.3,31.2,2.6,0.41,3.2,25.3,0.01,0.27,0.27,0.02,6.5,0.0005,1.8,0.0086147322858888,0.0115528545010932,0.01061065510584,0.0020054628256222,0.000301839789218,0.0007944345241402,0.0026802951283158,0.0004291238964963,-0.0010049939519644,0.0028832718607558,2017
1538,2017-11-16,2.7,0.01,13.0,7.5,1,16.0,0.001,0.001,0.001,8.3,30.2,2.3,0.47,3.8,25.2,0.01,0.51,0.51,0.02,6.7,0.0005,2.5,0.0048855537580476,0.0057269737989064,0.0034925355630668,-0.0016134642009778,-0.0024814059419007,-0.0012084967312888,0.0011506541469135,-0.0002267063175014,-0.0019911087661872,0.0016434267539866,2017
1586,2017-12-06,0.6,0.08,0.7,6.1,11000,18000.0,0.1,0.02,0.02,7.9,33.2,2.3,1.1,4.3,22.3,0.2,0.36,0.48,0.03,2.4,0.0005,0.8,0.0594241690111082,0.0731002495000264,0.0698688750517786,0.0323408900603539,0.0260434508902585,0.0207342891871537,0.0211573702071992,0.0161337233137473,0.0001958953790006,0.0003932957432759,2017
1587,2017-12-06,0.4,0.12,0.9,5.8,960,2400.0,0.15,0.03,0.03,7.8,32.9,2.1,1.5,7.2,22.2,0.3,0.5,0.68,0.05,3.7,0.0005,1.1,0.0634276484444991,0.0786284387611996,0.0797021119628441,0.0426468288698469,0.0340046789481315,0.0262915558605996,0.0268347095224693,0.0200166781525943,0.0028120740212312,0.0027174085825806,2017
1588,2017-12-06,0.7,0.12,1.0,6.0,600,850.0,0.14,0.03,0.03,7.8,33.0,2.2,1.3,7.6,22.3,0.29,0.57,0.74,0.04,4.1,0.0005,1.6,0.0663858234775557,0.0816370216866747,0.0851980430198902,0.0471853675197482,0.0359469009548156,0.0227842446371954,0.023220880262156,0.0148925090834986,0.0003328626030281,0.00029740355088,2017
1589,2017-12-06,0.4,0.18,1.3,5.6,1200,3000.0,0.16,0.03,0.04,7.8,32.7,1.9,1.6,7.3,22.5,0.37,0.42,0.61,0.05,5.2,0.0005,1.5,0.0555613780530113,0.0694682928039086,0.0724441024564008,0.0466543431509152,0.0409934299015758,0.0373692665286,0.0390744235261158,0.0326107044645622,0.0038637006290902,0.0020552593607145,2017
1590,2017-12-06,0.8,0.12,0.9,6.1,1800,2800.0,0.14,0.03,0.03,7.8,32.9,1.9,1.4,8.4,22.3,0.29,0.67,0.84,0.04,4.8,0.0005,1.4,0.0663302543933924,0.0823397641090484,0.0852472438909904,0.0462044695881088,0.0351569541153105,0.0220903599717534,0.0220763864036743,0.0155705125880331,0.000404199278819,0.0002655176325086,2017
1591,2017-12-06,0.6,0.12,0.9,5.9,1600,4200.0,0.16,0.03,0.03,7.8,32.8,2.3,1.6,5.7,22.3,0.31,0.52,0.71,0.04,3.3,0.0005,1.0,0.0642433146273498,0.0777039139554736,0.0821708728014137,0.0500655983848241,0.042289517662344,0.0320707427551665,0.0328653479903402,0.0243046958818808,0.0023748268611144,0.0016116417486825,2017
1592,2017-12-06,0.5,0.02,0.6,6.3,470,880.0,0.09,0.02,0.02,7.8,33.3,2.5,1.0,6.1,22.2,0.13,0.42,0.53,0.03,3.3,0.0005,1.4,0.0618203543351708,0.0754798739687578,0.0725670253561566,0.0331430751561865,0.02683842666993,0.0200587433824934,0.0213285823645535,0.0157466944664917,0.0002898185624812,0.0001110200628198,2017
1593,2017-12-06,0.6,0.01,0.7,6.9,5,7.0,0.1,0.01,0.02,7.9,33.0,2.0,1.3,9.9,21.6,0.12,0.69,0.8,0.03,24.6,0.0005,1.6,0.0781646385011668,0.0933617406131687,0.097337818556151,0.0548361717877988,0.0433186625934455,0.0272694546472315,0.0272372189435043,0.0192794535864244,0.0034313641243955,0.0034451178683034,2017
1595,2017-12-06,1.1,0.01,0.8,6.1,6,6.0,0.07,0.02,0.02,7.9,33.1,2.0,1.2,8.1,21.7,0.1,0.2,0.29,0.02,5.4,0.0005,1.6,0.0662303282311304,0.07949530877252,0.0751330030620149,0.0351666731108034,0.0295053831816802,0.0208659508782159,0.0207652297718636,0.0158267878314176,0.0027904422461176,0.0027967483709899,2017
1596,2017-12-06,0.1,0.02,0.7,5.8,1,1.0,0.06,0.02,0.01,7.8,33.1,2.0,1.2,5.7,21.6,0.09,0.63,0.7,0.02,3.4,0.0005,1.1,0.0772846365037485,0.0927317201783032,0.0923891997475233,0.0490973904486172,0.0405315311133324,0.0298919734757186,0.0291986345607193,0.0215976403836177,0.0039753171351996,0.0022704322941919,2017
1597,2017-12-06,0.4,0.01,1.2,6.8,6,8.0,0.11,0.01,0.02,7.9,33.0,2.5,1.3,9.6,21.4,0.12,0.34,0.46,0.03,18.7,0.0005,1.6,0.0664359721576893,0.0829486323478679,0.0825106043876037,0.0406362929195097,0.03169747169441,0.0211044272607621,0.0208030541172434,0.0158729064860928,0.0035132272412925,0.0037508624843919,2017
1598,2017-12-06,0.5,0.01,0.9,6.4,1,1.0,0.1,0.01,0.02,7.9,33.0,2.5,1.2,5.2,21.6,0.11,0.92,1.03,0.02,3.6,0.0005,0.7,0.063298647892632,0.0787796679478089,0.0764190972447604,0.0348424256415817,0.0274718750348823,0.0197233468060917,0.0204358531042747,0.0140002827158735,0.0014551095876716,0.0019752385805244,2017
1662,2017-12-11,0.6,0.01,0.7,6.9,1,1.0,0.1,0.02,0.02,7.9,33.2,2.0,1.1,4.0,21.1,0.12,0.34,0.46,0.02,2.2,0.0005,0.9,0.0554657333203131,0.0636868531738787,0.0625043333068729,0.0254542111314926,0.0190811560812012,0.012486853496543,0.0121024786252773,0.0080651204167061,-0.0009752407993837,-0.0002981865464261,2017
1663,2017-12-11,0.3,0.01,1.1,6.9,1,1.0,0.1,0.02,0.02,7.9,33.2,2.0,1.1,4.3,21.2,0.12,0.06,0.18,0.03,2.0,0.0005,1.1,0.0538505881368993,0.0625824453585731,0.0591162430969001,0.0242081854289883,0.0191245908352233,0.014136139424086,0.0135618828126915,0.0104532686728843,-0.0013524297666972,-0.0006750304532859,2017
1664,2017-12-11,0.7,0.01,0.8,7.0,1,1.0,0.1,0.02,0.02,7.9,33.1,2.0,1.1,2.5,20.9,0.12,0.15,0.26,0.02,1.4,0.0005,0.8,0.0454794108688574,0.0525197175936219,0.0498418003572172,0.019848921997774,0.0158669818013208,0.0130938818461606,0.0127167404401817,0.0092112315271515,-0.0015610531475832,0.0009980767205259,2017
1665,2017-12-11,0.6,0.04,0.6,6.7,1,1.0,0.12,0.02,0.02,7.9,33.1,2.0,1.1,3.3,21.7,0.19,0.07,0.21,0.03,3.8,0.0005,0.8,0.0527365593304288,0.0603401639667816,0.0645031733386283,0.0290244936281162,0.0224244413544887,0.0135786802651116,0.01242590006526,0.0088054137579716,-0.002012399391587,-0.0002660426437866,2017
1666,2017-12-11,0.6,0.01,0.9,6.4,1,1.0,0.1,0.02,0.02,7.9,33.3,2.0,1.0,5.0,21.1,0.13,0.07,0.19,0.02,27.2,0.0005,1.0,0.0576711869790775,0.0647256002444017,0.0662722650840596,0.029377348268301,0.0225606192255955,0.0126650995270769,0.0125823601665876,0.0083978824071203,-0.00126315041858,-0.0003844888860602,2017
1667,2017-12-11,0.6,0.01,0.6,6.7,3,8.0,0.11,0.03,0.02,7.9,33.2,2.0,1.1,3.2,21.3,0.15,0.09,0.23,0.03,1.5,0.0005,1.0,0.0458972574132585,0.0528137541738146,0.0493369188847561,0.0200413885223215,0.0161410715056651,0.012563101433326,0.0124742530501049,0.009750133523895,-0.0016842471847116,-3.76278867864114e-05,2017
1668,2017-12-11,0.5,0.01,0.5,6.3,1,1.0,0.11,0.01,0.02,7.9,33.0,2.0,1.1,7.2,20.9,0.12,0.11,0.23,0.03,8.1,0.0005,1.0,0.0577802929735548,0.0683528975623086,0.0689971542960039,0.0297784133788014,0.0212000961828921,0.0111814105047025,0.0104518450106319,0.0067882165767076,-0.001323632177366,0.0002400586279322,2017
1669,2017-12-11,0.4,0.05,1.3,6.6,16,29.0,0.11,0.03,0.02,7.8,33.2,2.0,1.1,3.8,21.3,0.18,0.14,0.28,0.03,1.7,0.0005,0.9,0.0437522478425091,0.0498806233548779,0.0475300853060151,0.0191404946941524,0.0166538025018894,0.0154559061237064,0.0156510177495965,0.0119838329355618,-0.0009259044371731,-0.0008820130482591,2017
1885,2018-01-15,0.9,0.02,6.8,8.3,1,1.0,0.2,0.02,0.02,8.2,32.2,2.5,0.83,10.0,16.6,0.24,0.31,0.53,0.03,9.6,0.0005,2.0,0.0096745524430428,0.0236256966363935,0.0291362526748842,0.0024493222756082,-0.000511674714827,-0.0040473441567471,-0.0026539993458754,-0.0042684119299008,-0.0054978581515281,-0.0003959634186258,2018
1886,2018-01-15,1.3,0.01,6.3,8.2,1,1.0,0.19,0.01,0.01,8.2,32.2,2.5,0.81,8.7,16.9,0.22,0.54,0.74,0.03,8.5,0.0005,1.8,0.0043549031086326,0.017775835693852,0.0240822410018337,0.0021334627271023,0.000365368440973,-0.0024810326796613,-0.0009460714597647,-0.0025283963253944,-0.0046651669200681,0.0009827865752802,2018
1887,2018-01-15,0.2,0.01,2.2,6.7,1,1.0,0.16,0.02,0.02,8.1,32.5,2.5,1.0,12.0,17.1,0.18,0.71,0.89,0.03,10.7,0.0005,1.6,0.0333954741015844,0.0541036565348374,0.0591753112268331,0.0139443545149947,0.0054598168060778,-0.0033751439667101,-0.0018132006319204,-0.0046953645742343,-0.0050855093866918,0.0003899167935,2018
1888,2018-01-15,0.4,0.01,2.1,7.5,30,37.0,0.15,0.01,0.02,8.1,32.0,2.5,1.0,11.0,17.4,0.17,0.52,0.68,0.03,9.8,0.0005,2.0,0.0285006783832157,0.0500780521579344,0.0589466690623606,0.0144197896580519,0.0072088625951215,-0.002468579131892,-0.0009146825795647,-0.0042006242671055,-0.0054110462339507,-0.0010472246928175,2018
1889,2018-01-15,0.3,0.01,2.5,7.7,1,2.0,0.17,0.02,0.02,8.1,32.5,2.5,1.0,12.0,17.0,0.2,0.25,0.44,0.03,11.0,0.0005,2.0,0.023828096317969,0.0435625312180548,0.0518442285885028,0.0107103918352026,0.003697633795808,-0.0042486411906985,-0.0018607833847319,-0.0055167150223843,-0.0058827222526912,0.0003799408821115,2018
1890,2018-01-15,0.2,0.01,1.0,6.9,1,1.0,0.15,0.01,0.02,8.0,32.4,2.0,0.98,12.0,17.5,0.17,0.65,0.81,0.02,11.7,0.0005,1.7,0.0362261539127835,0.0577962957671788,0.0634323125659995,0.0175787128107793,0.0087458988458316,-0.001385288221824,-0.000789223939279,-0.0027774315644805,-0.0039714540664225,0.0012057170435635,2018
2008,2018-03-16,1.0,0.12,2.4,6.6,90,290.0,0.2,0.02,0.01,8.1,30.8,3.0,0.34,8.0,19.2,0.34,0.41,0.63,0.03,2.7,0.0005,1.4,0.0388368191121019,0.0471830194592254,0.0478303882924729,0.0278819619234613,0.0272387666429002,0.0342194146626443,0.0386992546150768,0.0312166693497062,0.0033343531237789,0.005646961380158,2018
2009,2018-03-16,1.0,0.13,2.9,7.6,300,360.0,0.14,0.01,0.01,8.1,31.6,3.2,0.38,5.9,19.2,0.28,0.36,0.51,0.04,1.5,0.01,1.4,0.0354087549960873,0.0434519097700492,0.0413016313036798,0.016778508286179,0.0133657675049811,0.0103808235593046,0.0109897971803286,0.0075801800122863,0.0011230361646795,0.0077579399096198,2018
2010,2018-03-16,0.5,0.17,3.5,6.7,900,1600.0,0.16,0.02,0.02,8.1,31.4,3.3,0.45,10.0,18.9,0.35,0.64,0.82,0.04,2.2,0.01,1.9,0.0412125727418302,0.0488806836725151,0.0482190446488374,0.0221357844029727,0.0175498973376924,0.0160868933642604,0.0162568276762075,0.0098123061414657,-0.0023296201618786,0.0032673962526489,2018
2011,2018-03-16,1.1,0.05,5.3,8.5,16,28.0,0.06,0.001,0.001,8.1,32.3,3.6,0.26,6.5,18.3,0.11,0.31,0.37,0.03,1.2,0.0005,1.4,0.0223149362785749,0.0291404998534149,0.027748919419006,0.0118955604994979,0.0117845037946573,0.011848896327135,0.0139818289604789,0.0100235668614712,0.0066851096543402,0.0112315350819129,2018
2012,2018-03-16,1.1,0.09,1.6,7.0,2,4.0,0.21,0.02,0.01,8.1,30.8,3.5,0.41,5.9,20.0,0.31,0.68,0.91,0.02,1.4,0.0005,1.2,0.0456776669352837,0.0521876807686588,0.0528271530072172,0.0266363040976286,0.0239770082535349,0.0250292376668867,0.026413410582294,0.0203647243496205,-0.003630223943258,0.0020232592543858,2018
2013,2018-03-16,1.1,0.12,2.8,7.0,43,62.0,0.13,0.01,0.01,8.1,31.7,3.2,0.35,8.3,18.9,0.26,0.82,0.96,0.03,1.4,0.0005,1.4,0.0349329399872818,0.0443384556450885,0.0470134298731296,0.0192498100959694,0.0146095167000246,0.0100074289580234,0.0114445297625659,0.0069072336209922,0.0031387853962164,0.0099163801686291,2018
2014,2018-03-16,1.1,0.08,4.8,7.4,70,140.0,0.07,0.01,0.01,8.1,32.2,3.4,0.28,9.5,18.5,0.17,0.39,0.47,0.03,1.8,0.0005,1.8,0.0324817106243241,0.0363335077858139,0.0357224530728852,0.0147391977211459,0.0117145555374051,0.0111928907786362,0.0128196410634799,0.0080260448837372,-0.0066234241775992,-3.8115690265892488e-06,2018
2015,2018-03-16,1.0,0.21,2.9,5.8,790,1200.0,0.13,0.02,0.03,8.0,31.8,3.0,0.54,11.0,18.5,0.36,0.73,0.88,0.06,2.5,0.01,1.8,0.0439930844382111,0.0541323651017668,0.0549332807784007,0.0341755844909387,0.0290960652709101,0.0236358838600338,0.0245649028274584,0.0190715038775065,0.0005309430747688,0.0061279487440458,2018
2016,2018-03-16,0.5,0.15,0.9,6.2,270,530.0,0.14,0.02,0.03,8.0,32.0,3.5,0.7,7.5,18.2,0.31,0.4,0.56,0.05,1.6,0.0005,1.2,0.0299813995198737,0.0397493086642805,0.0373171011366234,0.0182213566596412,0.0156224156571439,0.0164050747745396,0.0195410713886389,0.0144872170584826,0.006242528425643,0.0117140258628032,2018
2017,2018-03-16,0.7,0.22,1.0,5.9,390,750.0,0.14,0.02,0.04,7.9,31.9,3.0,0.74,8.5,18.4,0.38,0.5,0.66,0.05,3.3,0.01,1.2,0.0265544264088797,0.0353690136907757,0.033963969965352,0.0167707560431794,0.0134664299716237,0.0150891242890096,0.0174750934191912,0.0131131413617759,0.0068932185473426,0.0132951135215161,2018
2018,2018-03-16,0.6,0.24,1.8,5.7,540,880.0,0.12,0.02,0.03,7.9,32.0,3.0,0.68,9.1,18.4,0.38,0.42,0.56,0.05,2.7,0.01,1.2,0.037188067291677,0.0460104711929056,0.0460218530800895,0.0201755766524424,0.0155174662700543,0.0130096701914609,0.0154194920904789,0.0099070283911583,-0.0033676201254644,0.0037025952018556,2018
2019,2018-03-16,1.8,0.33,2.9,6.3,11000,19000.0,0.11,0.01,0.03,8.0,31.7,3.0,0.47,7.9,18.5,0.45,0.6,0.72,0.06,2.3,0.01,1.7,0.0254491228355148,0.03432814740833,0.035310499809786,0.01247102929144,0.008605484228621,0.0060812237143733,0.0094263239844604,0.0067815949719339,0.004811332184354,0.0128705706898291,2018
2020,2018-03-16,0.5,0.18,0.4,6.0,190,290.0,0.14,0.02,0.04,7.9,31.9,4.0,0.76,8.1,18.5,0.34,0.48,0.64,0.05,2.1,0.0005,1.1,0.0321535113867985,0.0412863053753082,0.0385636232047358,0.0180037141977458,0.015559560514037,0.0152465506710856,0.0178299570008718,0.0135817915460036,0.0004404653860707,0.0063473386097601,2018
2021,2018-03-16,0.5,0.12,1.3,6.8,100,180.0,0.12,0.02,0.02,8.0,32.0,3.5,0.69,7.2,18.1,0.26,0.26,0.4,0.04,1.3,0.0005,1.1,0.0277990449076249,0.038206592249433,0.0352022361478539,0.0173655631020845,0.0147066426852459,0.0167738843461285,0.0186711451369471,0.014524014645138,0.0086137314209372,0.0156904039090439,2018
